,Set_Name,Theme,Price,Pieces,Pages,Minifigures,Unique_Pieces
623,Mining Heavy Driller,City,49.99,294.0,124.0,3.0,139.0
625,Knights of Ren Transport Ship,Star Wars,69.99,595.0,136.0,3.0,182.0
626,The Crafting Box 3.0,Minecraft,69.99,564.0,180.0,4.0,128.0
627,The Nether Portal,Minecraft,39.99,470.0,112.0,3.0,146.0
628,T. Rex Breakout,Juniors,49.99,150.0,76.0,3.0,98.0
629,Empire Temple of Madness,NINJAGO,79.99,810.0,160.0,6.0,267.0
630,Lloyd's Titan Mech,NINJAGO,79.99,876.0,164.0,6.0,230.0
631,Monastery of Spinjitzu,NINJAGO,79.99,1070.0,188.0,8.0,359.0
632,Mos Eisley Cantina,Star Wars,39.99,376.0,80.0,4.0,140.0
633,S.O.G. Headquarters,NINJAGO,39.99,530.0,96.0,5.0,246.0
634,First Order AT-ST,Star Wars,39.99,370.0,80.0,4.0,157.0
635,Townhouse Pet Shop & Café,Creator 3-in-1,79.99,969.0,356.0,3.0,289.0
636,Arctic Scout Truck,City,59.99,322.0,100.0,3.0,148.0
637,Spider-Man & Hulk Adventures,DUPLO,29.99,38.0,20.0,3.0,29.0
638,General Grievous' Combat Speeder,Star Wars,29.99,157.0,60.0,2.0,76.0
639,Sunshine Surfer Van,Creator 3-in-1,34.99,379.0,184.0,2.0,160.0
640,The Nether Fight,Minecraft,14.99,84.0,40.0,3.0,48.0
643,The Ultra Dragon,NINJAGO,84.99,951.0,160.0,6.0,262.0
647,TRON: Legacy,Ideas,34.99,230.0,68.0,3.0,73.0
648,Clone Scout Walker  20th Anniversary Edition,Star Wars,29.99,250.0,80.0,5.0,109.0
650,Sith TIE Fighter,Star Wars,79.99,470.0,104.0,3.0,127.0
651,Venomosaurus Ambush,Marvel,79.99,640.0,148.0,5.0,242.0
652,The Creeper Mine,Minecraft,79.99,834.0,164.0,4.0,206.0
653,Ocean Exploration Base,City,79.99,497.0,165.0,5.0,180.0
654,Jungle Rescue Base,Friends,79.99,648.0,176.0,3.0,251.0
655,Avengers Ultimate Quinjet,Marvel,79.99,840.0,160.0,5.0,252.0
656,Avengers Compound Battle,Marvel,99.99,699.0,168.0,7.0,292.0
657,Party Boat,Friends,79.99,640.0,184.0,3.0,270.0
659,Rescue Mission Boat,Friends,89.99,908.0,216.0,4.0,376.0
660,Donut Shop Opening,City,89.99,790.0,320.0,10.0,368.0
662,Ariel's Royal Celebration Boat,Disney,49.99,380.0,108.0,2.0,156.0
663,Mountain Arrest,City,59.99,303.0,136.0,4.0,168.0
664,Modular Skate House,Creator 3-in-1,39.99,422.0,196.0,2.0,169.0
666,Farm Pony Stable,DUPLO,29.99,59.0,25.0,2.0,31.0
668,Air Base,City,89.99,529.0,260.0,6.0,270.0
670,Emma's Art Café,Friends,32.99,378.0,112.0,2.0,166.0
671,Emmet's Dream House/Rescue Rocket!,THE LEGO MOVIE 2,69.99,706.0,260.0,4.0,197.0
672,Diamond Heist,City,59.99,400.0,160.0,4.0,191.0
673,AT-AP Walker,Star Wars,59.99,689.0,140.0,4.0,214.0
674,Pop-Up Book,Ideas,69.99,859.0,164.0,5.0,211.0
675,Snowspeeder  20th Anniversary Edition,Star Wars,39.99,309.0,116.0,4.0,159.0
677,Poe Dameron's X-wing Fighter,Star Wars,89.99,761.0,124.0,4.0,219.0
678,T. rex vs Dino-Mech Battle,Jurassic World,89.99,716.0,176.0,4.0,254.0
679,Hogwarts Clock Tower,Harry Potter,89.99,922.0,176.0,8.0,276.0
680,Mission to Mars,Classic,59.99,871.0,81.0,3.0,330.0
681,Avengers Tower Battle,Marvel,89.99,685.0,136.0,7.0,250.0
682,Mobile Bat Base,DC,89.99,743.0,140.0,6.0,275.0
684,Steamboat Willie,Ideas,89.99,751.0,176.0,2.0,202.0
685,Yoda,Star Wars,99.99,1771.0,224.0,1.0,235.0
686,Castle of the Forsaken Emperor,NINJAGO,99.99,1218.0,248.0,7.0,361.0
687,Deep Space Rocket and Launch Control,City,99.99,837.0,304.0,7.0,308.0
688,Downtown Fire Brigade,City,99.99,943.0,414.0,7.0,400.0
689,Thanos: Ultimate Battle,Marvel,69.99,674.0,116.0,4.0,190.0
690,Queen Watevra's So-Not-Evil' Space Palace,THE LEGO MOVIE 2,99.99,997.0,212.0,5.0,275.0
691,Stormbringer,NINJAGO,39.99,493.0,108.0,4.0,182.0
694,"Ariel, Aurora, and Tiana's Royal Celebration",Disney,39.99,282.0,108.0,3.0,131.0
695,Oni Titan,NINJAGO,49.99,522.0,96.0,4.0,183.0
697,Cole's Earth Driller ,NINJAGO,49.99,587.0,132.0,4.0,216.0
698,World Animals,DUPLO,99.99,121.0,48.0,6.0,75.0
700,Rapunzel's Tower,DUPLO,29.99,37.0,24.0,1.0,26.0
701,NASA Apollo 11 Lunar Lander,Creator Expert,99.99,1087.0,124.0,2.0,193.0
703,Batcave Clayface Invasion,Batman,99.99,1038.0,168.0,6.0,333.0
706,Passenger Airplane,City,99.99,669.0,273.0,9.0,288.0
707,Summer Fun Water Park,Friends,99.99,1001.0,316.0,4.0,394.0
708,Pirate Ship,Creator 3-in-1,99.99,1264.0,428.0,4.0,359.0
710,Sweet Mayhem's Systar Starship!,THE LEGO MOVIE 2,69.99,502.0,100.0,3.0,188.0
711,Indominus rex vs. Ankylosaurus,Jurassic World,99.99,537.0,112.0,5.0,216.0
712,Crocodile Locomotive,Creator Expert,99.99,1271.0,132.0,2.0,212.0
713,Hogwarts Astronomy Tower,Harry Potter,99.99,971.0,172.0,8.0,310.0
714,Hogwarts Great Hall,Harry Potter,99.99,878.0,184.0,10.0,284.0
715,Gingerbread House,Creator Expert,99.99,1477.0,196.0,2.0,321.0
716,Rex's Rexplorer!,THE LEGO MOVIE 2,119.99,1187.0,208.0,2.0,299.0
718,Mystery Castle,Hidden Side,99.99,1035.0,296.0,5.0,335.0
719,Police Station,City,99.99,743.0,345.0,7.0,298.0
720,Tuning Workshop,City,99.99,897.0,389.0,7.0,411.0
721,Ghost Train Express,Hidden Side,79.99,698.0,136.0,6.0,268.0
722,Defense of Crait,Star Wars,84.99,746.0,144.0,4.0,289.0
723,Imperial AT-Hauler,Star Wars,99.99,829.0,148.0,5.0,206.0
724,Arctic Supply Plane,City,79.99,707.0,132.0,4.0,239.0
725,Ninja Nightcrawler,NINJAGO,39.99,552.0,124.0,3.0,205.0
726,T. Rex Transport,Jurassic World,69.99,609.0,156.0,3.0,174.0
728,Imperial Conveyex Transport,Star Wars,89.99,622.0,120.0,4.0,187.0
729,Land Bounty,NINJAGO,129.99,1178.0,252.0,9.0,400.0
730,Heartlake City Amusement Pier,Friends,129.99,1251.0,316.0,7.0,433.0
732,Speed Force Freeze Pursuit,DC,29.99,271.0,80.0,4.0,138.0
733,Avengers Helicarrier,Marvel,119.99,1244.0,220.0,8.0,355.0
735,Slave I - 20th Anniversary Edition,Star Wars,119.99,1007.0,164.0,6.0,293.0
738,Firstbourne,NINJAGO,69.99,882.0,172.0,6.0,337.0
739,Corvus Glaive Thresher Attack,Marvel,39.99,416.0,124.0,5.0,168.0
742,Cargo Train,DUPLO,119.99,105.0,64.0,3.0,68.0
745,Kylo Ren's Shuttle,Star Wars,129.99,1005.0,184.0,6.0,271.0
746,Darth Vader's Castle,Star Wars,129.99,1060.0,188.0,5.0,285.0
747,Ferrari Ultimate Garage,Speed Champions,99.99,841.0,200.0,7.0,309.0
748,Newbury Haunted High School,Hidden Side,129.99,1474.0,308.0,8.0,482.0
752,Passenger Train,City,159.99,677.0,230.0,4.0,165.0
753,Rocket Assembly &Transport,City,149.99,1055.0,340.0,8.0,364.0
754,Carnotaurus Gyrosphere Escape,Jurassic World,79.99,577.0,140.0,3.0,226.0
756,Sleeping Beauty's Fairytale Castle,Disney,39.99,322.0,84.0,3.0,171.0
757,App-Controlled Batmobile,DC,99.99,321.0,108.0,1.0,114.0
758,The Skeleton Attack,Minecraft,39.99,457.0,100.0,3.0,136.0
759,Mia's Camper Van,Friends,54.99,488.0,116.0,2.0,222.0
760,Mountain Police Headquarters,City,89.99,663.0,272.0,7.0,324.0
762,Droid Gunship,Star Wars,49.99,389.0,84.0,3.0,150.0
764,Ocean Exploration Ship,City,149.99,745.0,229.0,8.0,314.0
765,The Bat-Space Shuttle,DC,79.99,643.0,124.0,6.0,239.0
767,Arctic Mobile Exploration Base,City,119.99,786.0,236.0,6.0,255.0
769,Cinderella's Dream Castle,Disney,69.99,585.0,132.0,2.0,218.0
770,Millennium Falcon,Star Wars,159.99,1353.0,268.0,7.0,352.0
771,Killow vs. Samurai X,NINJAGO,49.99,556.0,128.0,3.0,220.0
772,Heartlake City Pet Centre,Friends,59.99,474.0,108.0,3.0,234.0
774,The Bedrock Adventures,Minecraft,89.99,644.0,108.0,4.0,168.0
776,X-wing Starfighter,Star Wars,79.99,730.0,120.0,4.0,224.0
778,Pirate Roller Coaster,Creator 3-in-1,89.99,923.0,324.0,5.0,277.0
779,Imperial Landing Craft,Star Wars,89.99,636.0,108.0,5.0,191.0
784,Bookshop,Creator Expert,179.99,2504.0,216.0,5.0,561.0
785,Cargo Train,City,229.99,1227.0,362.0,6.0,410.0
786,Friendship House,Friends,69.99,722.0,164.0,3.0,309.0
787,Vestas Wind Turbine,Creator Expert,199.99,826.0,148.0,3.0,230.0
788,The Hulkbuster: Ultron Edition,Marvel,119.99,1363.0,184.0,1.0,268.0
789,Dragon Pit,NINJAGO,129.99,1660.0,244.0,9.0,424.0
790,Sanctum Sanctorum Showdown,Marvel,99.99,1004.0,220.0,5.0,312.0
792,The Farm Cottage ,Minecraft,49.99,549.0,116.0,3.0,157.0
793,The Upside Down,Stranger Things,199.99,2287.0,300.0,8.0,533.0
795,Corner Garage,Creator Expert,199.99,2569.0,236.0,6.0,564.0
796,Tantive IV,Star Wars,199.99,1768.0,260.0,6.0,387.0
797,A-wing Starfighter,Star Wars,199.99,1673.0,272.0,1.0,355.0
798,Pirates of Barracuda Bay,Ideas,199.99,2545.0,460.0,10.0,575.0
799,Imperial TIE Fighter,Star Wars,69.99,519.0,76.0,4.0,129.0
800,Indoraptor Rampage at Lockwood Estate,Jurassic World,129.99,1019.0,176.0,6.0,257.0
801,City Hospital,City,99.99,861.0,329.0,13.0,362.0
802,Dieselnaut,NINJAGO,109.99,1179.0,156.0,7.0,308.0
803,Sandcrawler,Star Wars,139.99,1239.0,188.0,6.0,277.0
805,The Rexcelsior!,THE LEGO MOVIE 2,149.99,1826.0,276.0,4.0,377.0
806,Heartlake City Resort,Friends,99.99,1017.0,208.0,4.0,326.0
808,Mining Experts Site,City,99.99,883.0,244.0,6.0,284.0
809,Capital City,City,149.99,1211.0,441.0,13.0,489.0
811,Downtown Diner,Creator Expert,169.99,2480.0,200.0,6.0,508.0
812,Kessel Run Millennium Falcon,Star Wars,169.99,1414.0,208.0,7.0,318.0
813,Temple of Resurrection,NINJAGO,69.99,765.0,144.0,8.0,297.0
816,Farm Adventures,DUPLO,59.99,104.0,40.0,3.0,42.0
819,Roller Coaster,Creator Expert,379.99,4124.0,440.0,11.0,556.0
821,Hogwarts Castle,Harry Potter,399.99,6020.0,636.0,28.0,624.0
822,NINJAGO City Docks,NINJAGO,229.99,3553.0,380.0,14.0,690.0
824,Betrayal at Cloud City,Star Wars,349.99,2812.0,388.0,19.0,676.0
825,Imperial Star Destroyer,Star Wars,699.99,4784.0,444.0,2.0,445.0
844,Monkie Kid's Delivery Bike,Monkie Kid,4.99,22.0,3.0,1.0,18.0
846,Road Worker,City,3.99,58.0,3.0,1.0,33.0
848,Police Water Plane,City,3.99,48.0,3.0,1.0,36.0
849,Arctic Ice Saw,City,3.99,43.0,3.0,1.0,34.0
854,Space Satellite,City,3.99,36.0,3.0,1.0,24.0
858,Beach Buggy,City,4.99,45.0,3.0,1.0,29.0
866,Olivia's Remote Control Boat,Friends,3.99,25.0,3.0,1.0,23.0
869,Unikitty Roller Coaster Wagon,Unikitty,3.99,46.0,3.0,1.0,28.0
880,Rex's Plantimal Ambush,THE LEGO MOVIE 2,3.99,32.0,3.0,1.0,23.0
906,Poppy's Carriage,Trolls World Tour,4.99,51.0,3.0,1.0,30.0
927,DJ,Star Wars,4.99,22.0,3.0,1.0,15.0
946,Ninjago Minifigure Pack,NINJAGO,12.99,59.0,3.0,4.0,33.0
947,Spider-Man and the Museum Break-In,Marvel,14.99,49.0,3.0,3.0,33.0
948,Summer Celebration Minifigure Pack,Minifigures,12.99,45.0,3.0,4.0,35.0
950,Police MF Accessory Set,Minifigures,12.99,42.0,3.0,4.0,33.0
951,Fairground Accessory Set,Minifigures,12.99,51.0,3.0,4.0,35.0
959,Falcon & Black Widow Team-Up,Marvel,14.99,60.0,3.0,3.0,34.0
961,Spinjitzu Burst - Cole,NINJAGO,9.99,48.0,3.0,1.0,31.0
963,Spinjitzu Burst Lloyd,NINJAGO,9.99,48.0,3.0,1.0,30.0
969,Golden Zane Accessory Set ,NINJAGO,12.99,73.0,5.0,4.0,31.0
970,Stephanie's Play Cube - Beauty Salon,Friends,9.99,44.0,5.0,1.0,35.0
971,Andrea's Jungle Play Cube,Friends,9.99,47.0,5.0,1.0,43.0
972,Stephanie's Jungle Play Cube,Friends,9.99,41.0,5.0,1.0,38.0
976,Obi-Wan Kenobi - Collectable Minifigure,Star Wars,3.99,12.0,6.0,1.0,10.0
979,Hogwarts Students Accessory Set,Harry Potter,14.99,53.0,9.0,4.0,33.0
981,Bulldozer,DUPLO,9.99,10.0,12.0,1.0,10.0
982,Creative Fun,DUPLO,39.99,120.0,13.0,1.0,70.0
984,Truck & Tracked Excavator,DUPLO,19.99,20.0,16.0,2.0,19.0
988,Batcave,Batman,29.99,33.0,20.0,3.0,25.0
989,Ariel's Undersea Castle,Disney,29.99,35.0,20.0,1.0,27.0
1001,Wrecking Ball Demolition,DUPLO,59.99,56.0,32.0,3.0,41.0
1014,Emma's Pet Party,Friends,9.99,67.0,36.0,1.0,50.0
1021,Olaf's Traveling Sleigh,Disney,12.99,97.0,44.0,1.0,52.0
1043,Fun Future,Classic,9.99,186.0,49.0,1.0,95.0
1048,Tower Crane & Construction,DUPLO,129.99,123.0,56.0,5.0,72.0
1054,Lucy's Builder Box!,THE LEGO MOVIE 2,29.99,141.0,56.0,2.0,71.0
1057,Emmet's Builder Box!,THE LEGO MOVIE 2,29.99,125.0,56.0,1.0,76.0
1066,Quantum Realm Explorers,Marvel,19.99,200.0,64.0,3.0,100.0
1068,Moana's Island Home,Disney,29.99,202.0,68.0,1.0,121.0
1069,People Pack - Space Research and Development,City,39.99,209.0,68.0,15.0,146.0
1070,Wu's Battle Dragon,NINJAGO,19.99,321.0,68.0,2.0,109.0
1071,Iron Man Armory,Marvel,29.99,258.0,68.0,3.0,110.0
1074,Diagon Alley,Harry Potter,19.99,374.0,72.0,1.0,116.0
1080,Dilophosaurus Outpost Attack,Jurassic World,39.99,289.0,72.0,3.0,124.0
1084,Mulan's Training Grounds,Disney,29.99,157.0,76.0,1.0,94.0
1086,Funny Octopus Ride,Friends,39.99,324.0,76.0,2.0,145.0
1090,Black Widow's Helicopter Chase,Marvel,29.99,271.0,80.0,3.0,125.0
1091,Venom Crawler,Marvel,29.99,413.0,80.0,3.0,132.0
1094,Armored Assault Tank (AAT),Star Wars,39.99,286.0,80.0,3.0,121.0
1095,Captain Marvel and The Skrull Attack,Marvel,29.99,307.0,80.0,3.0,126.0
1102,501st Legion Clone Troopers,Star Wars,29.99,285.0,84.0,3.0,125.0
1104,Hoth Medical Chamber,Star Wars,29.99,255.0,84.0,4.0,120.0
1105,Sandspeeder,Star Wars,29.99,278.0,84.0,2.0,110.0
1111,Stephanie's House,Friends,39.99,170.0,92.0,3.0,116.0
1112,Emmet's Triple-Decker Couch Mech,THE LEGO MOVIE 2,29.99,312.0,92.0,3.0,98.0
1113,Journey to the Skull Dungeons,NINJAGO,29.99,401.0,92.0,4.0,164.0
1115,White Dragon Horse Bike,Monkie Kid,34.99,259.0,96.0,3.0,134.0
1119,Storm Fighter Battle,NINJAGO,29.99,165.0,100.0,3.0,96.0
1122,Spinning Brushes Car Wash,Friends,29.99,325.0,108.0,2.0,174.0
1123,Air Race,City,39.99,140.0,108.0,3.0,84.0
1126,Quidditch Match,Harry Potter,39.99,500.0,112.0,6.0,205.0
1129,Iron Bull Tank,Monkie Kid,49.99,430.0,124.0,3.0,160.0
1132,Rainbow Caterbus,Trolls World Tour,39.99,395.0,132.0,5.0,170.0
1134,Jurassic Park Velociraptor Chase ,Jurassic World,39.99,360.0,132.0,4.0,195.0
1135,Winter Village Fire Station,Creator Expert,99.99,1166.0,136.0,8.0,323.0
1136,Fire Stone Mech,NINJAGO,69.99,968.0,136.0,5.0,260.0
1138,Death Star Final Duel,Star Wars,99.99,775.0,140.0,4.0,241.0
1143,Hedwig,Harry Potter,39.99,630.0,148.0,1.0,166.0
1144,Tree House Treasures ,Creator 3-in-1,29.99,260.0,152.0,2.0,119.0
1146,Monkie Kid's Cloud Jet,Monkie Kid,59.99,390.0,168.0,4.0,199.0
1147,Zane's Mino Creature,NINJAGO,49.99,616.0,172.0,4.0,202.0
1149,Attack on The Burrow,Harry Potter,99.99,1047.0,180.0,8.0,383.0
1151,Police Brick Box,City,39.99,301.0,188.0,4.0,162.0
1152,Outback Cabin,Creator 3-in-1,29.99,305.0,196.0,2.0,141.0
1153,Demon Bull King,Monkie Kid,89.99,585.0,200.0,3.0,264.0
1154,Skull Sorcerer's Dragon,NINJAGO,79.99,1016.0,200.0,6.0,303.0
1156,Alpaca Mountain Jungle Rescue,Friends,59.99,512.0,208.0,2.0,270.0
1157,Pigsy's Food Truck,Monkie Kid,69.99,455.0,212.0,4.0,299.0
1159,Heartlake City Brick Box,Friends,39.99,321.0,220.0,2.0,121.0
1160,Y-wing Starfighter,Star Wars,199.99,1967.0,220.0,2.0,359.0
1162,Red Son's Inferno Truck,Monkie Kid,119.99,1111.0,244.0,5.0,350.0
1164,Skull Sorcerer's Dungeons,NINJAGO,99.99,1171.0,256.0,8.0,425.0
1165,Monkey King Warrior Mech,Monkie Kid,149.99,975.0,272.0,6.0,435.0
1166,Haunted House,Creator Expert,249.99,3231.0,312.0,8.0,467.0
1167,Destiny's Bounty,NINJAGO,129.99,1781.0,316.0,7.0,479.0
1169,Ski Resort,City,89.99,806.0,328.0,11.0,348.0
1170,Disney Train and Station,Powered UP,329.99,2925.0,397.0,5.0,509.0
1171,1989 Batmobile,Batman,249.99,3306.0,404.0,3.0,484.0
1172,Tree House,Ideas,199.99,3036.0,428.0,4.0,482.0
1173,Welcome to Apocalypseburg!,THE LEGO MOVIE 2,299.99,3178.0,452.0,13.0,692.0
1174,Jurassic Park: T. rex Rampage,Jurassic World,249.99,3120.0,464.0,6.0,525.0
1175,Monkie Kid's Team Secret HQ,Monkie Kid,169.99,1105.0,556.0,7.0,622.0
